Name,Address,Category,Organization Type,Description,Services,Career Fields,Student Connections,Website,Phone,Email,Record ID,Source
Good Samaritan Shelter / Bridgehouse,"2025 Sweeney Rd, Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,,Emergency shelter • Housing support • Case management • Community outreach,Social work • Human services • Nonprofit operations • Case management,Volunteer or human-services inquiry,https://goodsamaritanshelter.org/,805-735-4390,,LOM-GOOD-SAM-BRIDGEHOUSE,Lompoc Valley Chamber member directory; reviewed 2026-08
Healthy Lompoc Coalition,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local health coalition connection for career exploration, projects, and community outreach.",Community health • Wellness initiatives • Public outreach • Partnership coordination,Public health • Community service • Program management • Communications,Volunteer inquiry • Project partnership,https://www.google.com/maps/search/?api=1&query=Healthy+Lompoc+Coalition%2C+Lompoc%2C+CA,,,LOM-HEALTHYLOMPOC,Momentum local business research; reviewed 2026-08
Independent Living Resource Center — Lompoc Services,"Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,"Local disability services connection for career exploration, projects, and community outreach.",Independent living support • Disability advocacy • Assistive resources • Benefits navigation,Human services • Advocacy • Public policy • Community outreach,Career exploration • Service-learning inquiry,https://ilrc-trico.org/,,,LOM-ILRC,Momentum local business research; reviewed 2026-08
Lompoc Community Benefit Foundation,"Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,"Local community foundation connection for career exploration, projects, and community outreach.",Community grants • Philanthropy • Local partnerships • Nonprofit support,Nonprofit management • Finance • Community development • Communications,Volunteer inquiry • Project partnership,https://www.google.com/maps/search/?api=1&query=Lompoc+Community+Benefit+Foundation%2C+Lompoc%2C+CA,,,LOM-LCBF,Momentum local business research; reviewed 2026-08
Lompoc District Libraries Foundation,"501 E North Ave, Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,Supports libraries in Lompoc and Vandenberg Village.,Library support • Literacy • Fundraising • Bookmobile support,Library science • Nonprofit management • Fundraising • Community outreach,Library-support volunteer inquiry,https://www.cityoflompoc.com/government/departments/library/how-you-can-help,,,LOM-LIBRARY-FOUNDATION,City of Lompoc official website; reviewed 2026-08
Lompoc High School Alumni Association,"P.O. Box 1146, Lompoc, CA 93438",Nonprofits & Youth,Nonprofit,,Alumni engagement • Scholarships • School support,Nonprofit management • Event planning • Fundraising • Education,Potential partner inquiry,,805-448-4295,,LOM-LHS-ALUMNI,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Police Foundation,"Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,,Community awareness • Public safety support • Fundraising • Events,Public safety • Nonprofit management • Event planning • Community relations,Public-safety community event inquiry,https://www.lompocpolicefoundation.com/,,,LOM-POLICE-FOUNDATION,Official organization website; reviewed 2026-08
Lompoc Rotary Club,"Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,,Community service • Scholarships • Local projects • Networking,Civic leadership • Fundraising • Event planning • Community service,Service-project inquiry,https://www.lompocrotary.com/,,,LOM-ROTARY,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Teen Center,"732 N H St, Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,"Youth-focused center offering academic support, enrichment, college and career readiness, and internship opportunities.",After-school programs • Tutoring • Career readiness • Events • Internship opportunities,Youth development • Education • Nonprofit work • Event planning • Career services,Youth programs • Internship inquiry • Leadership development,https://www.lompocteencenter.org/,805-741-7904,info@lompocteencenter.org,LOM-TEEN-CENTER,Momentum Lompoc directory v23.1.0
Lompoc Valley AYSO,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local youth sports connection for career exploration, projects, and community outreach.",Youth soccer • Coaching • Refereeing • Volunteer coordination,Sports management • Coaching • Youth development • Event operations,Volunteer inquiry • Career exploration,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+AYSO%2C+Lompoc%2C+CA,,,LOM-AYSO,Momentum local business research; reviewed 2026-08
Lompoc Valley Bicycle Club,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local recreation club connection for career exploration, projects, and community outreach.",Cycling • Community rides • Safety education • Volunteer events,Recreation • Health and wellness • Event planning • Community service,Volunteer inquiry • Project partnership,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+Bicycle+Club%2C+Lompoc%2C+CA,,,LOM-BICYCLECLUB,Momentum local business research; reviewed 2026-08
Lompoc Valley Botanic & Horticultural Society,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local horticulture organization connection for career exploration, projects, and community outreach.",Horticulture education • Garden projects • Community beautification • Volunteer service,Horticulture • Environmental science • Landscaping • Community service,Volunteer inquiry • Project partnership,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+Botanic+and+Horticultural+Society%2C+Lompoc%2C+CA,,,LOM-BOTANICSOCIETY,Momentum local business research; reviewed 2026-08
Lompoc Valley Distance Club,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local running club connection for career exploration, projects, and community outreach.",Running programs • Fitness • Community events • Volunteer support,Recreation • Health and wellness • Coaching • Event planning,Volunteer inquiry • Career exploration,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+Distance+Club%2C+Lompoc%2C+CA,,,LOM-DISTANCECLUB,Momentum local business research; reviewed 2026-08
Lompoc Valley Festival Association,"414 W Ocean Ave, Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,Volunteer-run organization coordinating major Lompoc community festivals and events.,Flower Festival • Parade • Community events • Volunteer coordination • Event planning,Event planning • Hospitality • Marketing • Operations • Community service,Event volunteer inquiry • Event-planning exploration,https://www.lompocvalleyfestivals.com/,805-735-8511,office@lompocvalleyfestivals.com,LOM-FESTIVAL-ASSOC,Momentum Lompoc directory v23.1.0
Lompoc Valley Genealogical Society,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local historical & genealogy organization connection for career exploration, projects, and community outreach.",Genealogy research • Local history • Archives • Community education,History • Research • Library science • Community education,Volunteer inquiry • Research project partnership,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+Genealogical+Society%2C+Lompoc%2C+CA,,,LOM-GENEALOGICAL,Momentum local business research; reviewed 2026-08
Micah Mission Lompoc,"209 S Third St, Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,,Street outreach • Basic needs support • Community service,Human services • Outreach • Volunteer coordination • Nonprofit work,Volunteer inquiry,https://www.micahmission.org/,805-260-6724,,LOM-MICAH-MISSION,Lompoc Valley Chamber member directory; reviewed 2026-08
North County Rape Crisis & Child Protection Center,"511 E Ocean Ave, Lompoc, CA 93438",Nonprofits & Youth,Nonprofit,,Crisis intervention • Prevention education • Advocacy,Social work • Counseling • Public education • Advocacy,Age-appropriate prevention-education inquiry,https://sbstesa.org/,805-736-8535,,LOM-NCRCCPC,Lompoc Valley Chamber member directory; reviewed 2026-08
Northern Santa Barbara County United Way,North Santa Barbara County,Nonprofits & Youth,Nonprofit,,Community programs • Fundraising • Volunteer coordination,Nonprofit management • Fundraising • Community outreach • Marketing,Potential partner inquiry,https://www.liveunitedsbc.org/,805-922-0329,,LOM-UNITED-WAY-NORTH,Lompoc Valley Chamber member directory; reviewed 2026-08
People's Self-Help Housing — Lompoc,Lompoc service area,Nonprofits & Youth,Nonprofit,,Affordable housing • Resident services • Property management • Community development,Housing services • Construction • Property management • Social services,Potential partner inquiry,https://www.pshhc.org/,,,LOM-PEOPLES-SELF-HELP,Official organization website; reviewed 2026-08
Place of Grace,"816 N C St, Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,,Community gatherings • Service • Volunteer coordination,Community outreach • Event support • Nonprofit service,Potential partner inquiry,,805-736-9826,,LOM-PLACE-GRACE,Lompoc Valley Chamber member directory; reviewed 2026-08
Santa Barbara County 4-H — Lompoc Area,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local youth development connection for career exploration, projects, and community outreach.",Youth leadership • Agriculture projects • STEM projects • Community service,Agriculture • Education • Youth development • STEM,Youth program inquiry • Volunteer inquiry,https://ucanr.edu/sites/sbc4h/,,,LOM-4H,Momentum local business research; reviewed 2026-08
Sleep in Heavenly Peace — Santa Barbara County North,North Santa Barbara County,Nonprofits & Youth,Nonprofit,,Bed building • Delivery • Youth support • Volunteer service,Carpentry • Logistics • Volunteer coordination • Nonprofit operations,Bed-build volunteer inquiry,https://shpbeds.org/chapter/ca-santa-barbara-county-n/,,,LOM-SHP-NORTH,Official organization website; reviewed 2026-08
United Boys & Girls Clubs — Lompoc,"Lompoc, CA",Nonprofits & Youth,Nonprofit,"Youth development, recreation, and learning programs.",Youth programs • Tutoring • Recreation • Mentoring,,,https://unitedbg.org/,,,LOM-UNITEDBOYS,Lompoc starter directory
Veggie Rescue,"3630 Sagunto St, Suite C-1, Santa Ynez, CA 93460",Nonprofits & Youth,Nonprofit,Santa Ynez Valley nonprofit that mobilizes volunteers to rescue surplus produce and other food and deliver it to organizations serving people facing food insecurity across Santa Barbara County.,Volunteer food rescue • Produce gleaning • Farm and food-business partnerships • Food delivery to community organizations • Food-waste reduction,Nonprofit service • Agriculture and food systems • Logistics • Sustainability • Community outreach,Volunteer inquiry • Service-learning exploration • Food-systems project connection • Community-impact interview,https://veggierescue.org/,(805) 350-9154,info@veggierescue.org,REG-VEGGIE-RESCUE,Official Veggie Rescue website and contact page; reviewed 2026-08
Youth Leadership Lompoc Valley,"Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,,Leadership development • Community learning • Local government and business exposure,Leadership • Civic engagement • Communication • Community development,Program participation inquiry,https://lompoc.com/about-us/youth-leadership-lompoc-valley/,,,LOM-YOUTH-LEADERSHIP,Official organization website; reviewed 2026-08
Big 5 Sporting Goods — Lompoc,"Lompoc, CA 93436",Retail & Customer Service,Business,"Local sporting goods connection for career exploration, projects, and community outreach.",Sporting goods retail • Inventory • Customer service • Sales,Retail • Recreation • Sales • Management,Career exploration • Employment inquiry,https://www.big5sportinggoods.com/store/locator,,,LOM-BIG5,Momentum local business research; reviewed 2026-08
Box Shop,"740 N H St, Lompoc, CA 93436",Retail & Customer Service,Business,,Packing • Shipping • Mail services • Customer service,Logistics • Retail • Packaging • Customer service,Potential partner inquiry,,805-735-1567,,LOM-BOX-SHOP,Lompoc Valley Chamber member directory; reviewed 2026-08
Christian's Mattress Xpress,"663 W Central Ave, Lompoc, CA 93436",Retail & Customer Service,Business,"Local home furnishings connection for career exploration, projects, and community outreach.",Mattress sales • Customer service • Delivery coordination • Retail operations,Retail • Sales • Business • Logistics,Career exploration • Small-business interview,https://christiansmattress.com/,,,LOM-CHRISTIANSMATTRESS,Momentum local business research; reviewed 2026-08
Conway's Thrift,"322 N H St, Lompoc, CA 93436",Retail & Customer Service,Business,"Local thrift & resale connection for career exploration, projects, and community outreach.",Resale retail • Merchandising • Customer service • Inventory,Retail • Sustainability • Business • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=Conway%27s+Thrift%2C+Lompoc%2C+CA,,,LOM-CONWAYSTHRIFT,Momentum local business research; reviewed 2026-08
CVS Pharmacy,"1317 N H St, Lompoc, CA 93436",Retail & Customer Service,Business,Pharmacy and retail careers.,Pharmacy • Retail • Customer service • Healthcare,,,https://www.cvs.com/store-locator/lompoc-ca-pharmacies/1317-n-h-st-lompoc-ca-93436/storeid=9876,,,LOM-CVS,Lompoc starter directory
Dollar Tree,"Lompoc, CA",Retail & Customer Service,Business,Discount retail.,Retail • Inventory • Customer service • Management,,,https://www.dollartree.com/locations/ca/lompoc/,,,LOM-DOLLARTREE,Lompoc starter directory
Goodson Orange,"703 E Ocean Ave, Lompoc, CA 93436",Retail & Customer Service,Business,"Local multi-vendor marketplace supporting small businesses, makers, and community events.",Local vendor marketplace • Retail • Community events • Customer service,Retail • Entrepreneurship • Marketing • Event planning,Career exploration • Local-maker interview,https://goodsonorange.com/,,,LOM-GOODSONORANGE,Momentum local business research; reviewed 2026-08
Goodwill Industries,"Lompoc, CA",Retail & Customer Service,Nonprofit,Thrift retail and workforce-development organization.,Retail • Job training • Donations • Customer service,,,https://www.goodwillsocal.org/,,,LOM-GOODWILL,Lompoc starter directory
Harbor Freight Tools,"609 N H St, Lompoc, CA 93436",Retail & Customer Service,Business,Tool and equipment retail.,Tools • Sales • Inventory • Customer service • Management,,,https://www.harborfreight.com/storelocator/609-n-h-st-lompoc-93436?number=683,,,LOM-HARBOR,Lompoc starter directory
Jupiter's Spark Collective,"101 S H St, Lompoc, CA 93436",Retail & Customer Service,Business,"Local collective featuring clothing, art, plants, and gifts.",Retail • Art • Fashion • Plants • Small business,,,https://explorelompoc.com/directory/jupiters-spark-collection/,,,LOM-JUPITER,Lompoc starter directory
Lompoc Thrift Store & Boutique,"330 W Ocean Ave, Lompoc, CA 93436",Retail & Customer Service,Business,"Local thrift & resale connection for career exploration, projects, and community outreach.",Resale retail • Merchandising • Donations • Customer service,Retail • Fashion • Sustainability • Business,Career exploration • Community retail inquiry,https://www.google.com/maps/search/?api=1&query=Lompoc+Thrift+Store+and+Boutique%2C+Lompoc%2C+CA,,,LOM-THRIFTBOUTIQUE,Momentum local business research; reviewed 2026-08
Marshalls,"Lompoc, CA",Retail & Customer Service,Business,Clothing and home-goods retail.,Retail • Inventory • Customer service • Merchandising,,,https://www.marshalls.com/us/store/stores/Lompoc-CA-93436/1624/aboutstore,,,LOM-MARSHALLS,Lompoc starter directory
Mary's Unique Thrift Shop,"117 S H St, Lompoc, CA 93436",Retail & Customer Service,Business,"Local thrift & resale connection for career exploration, projects, and community outreach.",Resale retail • Merchandising • Customer service • Small business,Retail • Fashion • Entrepreneurship • Customer service,Career exploration • Small-business interview,https://www.google.com/maps/search/?api=1&query=Mary%27s+Unique+Thrift+Shop%2C+Lompoc%2C+CA,,,LOM-MARYSUNIQUE,Momentum local business research; reviewed 2026-08
Old Navy — Lompoc,"Lompoc, CA 93436",Retail & Customer Service,Business,"Local clothing retail connection for career exploration, projects, and community outreach.",Clothing retail • Visual merchandising • Inventory • Customer service,Retail • Fashion • Marketing • Management,Career exploration • Employment inquiry,https://oldnavy.gap.com/stores,,,LOM-OLDNAVY,Momentum local business research; reviewed 2026-08
Reviving Hope Thrift,"646 N H St, Lompoc, CA 93436",Retail & Customer Service,Business,"Local thrift & resale connection for career exploration, projects, and community outreach.",Resale retail • Donations • Merchandising • Customer service,Retail • Nonprofit service • Sustainability • Business,Career exploration • Volunteer inquiry,https://www.google.com/maps/search/?api=1&query=Reviving+Hope+Thrift%2C+Lompoc%2C+CA,,,LOM-REVIVINGHOPE,Momentum local business research; reviewed 2026-08
Ross Dress for Less,"Lompoc, CA",Retail & Customer Service,Business,Clothing and home-goods retail.,Retail • Inventory • Customer service • Loss prevention,,,https://www.rossstores.com/store-locator/,,,LOM-ROSS,Lompoc starter directory
Staples,"Lompoc, CA",Retail & Customer Service,Business,"Office supplies, printing, and technology services.",Retail • Printing • Technology • Customer service,,,https://stores.staples.com/ca/lompoc,,,LOM-STAPLES,Lompoc starter directory
Surf Connection,"Lompoc, CA 93436",Retail & Customer Service,Business,,Surf equipment • Apparel • Retail • Local recreation knowledge,Retail • Outdoor recreation • Marketing • Small business,Potential partner inquiry,https://www.surfconnection.net/,,,LOM-SURF-CONNECTION,Official organization website; reviewed 2026-08
T-Mobile,"Lompoc, CA",Retail & Customer Service,Business,Technology sales and customer service.,Technology • Sales • Customer service • Mobile devices,,,https://www.t-mobile.com/stores/locator,,,LOM-TMOBILE,Lompoc starter directory
Target,"Lompoc, CA",Retail & Customer Service,Business,Large retail workplace with multiple departments.,Retail • Inventory • Customer service • Management,,,https://www.target.com/sl/lompoc/2760,,,LOM-TARGET,Lompoc starter directory
The Garden Shoppe,"Lompoc, CA 93436",Retail & Customer Service,Business,"Local garden center connection for career exploration, projects, and community outreach.",Plants and garden supplies • Customer service • Merchandising • Plant care,Horticulture • Retail • Landscaping • Business,Career exploration • Horticulture inquiry,https://www.google.com/maps/search/?api=1&query=The+Garden+Shoppe%2C+Lompoc%2C+CA,,,LOM-GARDENSHOPPE,Momentum local business research; reviewed 2026-08
TNT Sweet Repeats,"110 W Ocean Ave, Lompoc, CA 93436",Retail & Customer Service,Business,"Local thrift & resale connection for career exploration, projects, and community outreach.",Resale retail • Merchandising • Customer service • Small business,Retail • Fashion • Entrepreneurship • Sustainability,Career exploration • Small-business interview,https://www.google.com/maps/search/?api=1&query=TNT+Sweet+Repeats%2C+Lompoc%2C+CA,,,LOM-TNTSWEETREPEATS,Momentum local business research; reviewed 2026-08
Tractor Supply Co.,"1700 N H St, Lompoc, CA 93436",Retail & Customer Service,Business,"Farm, ranch, pet, and tool retail.",Agriculture • Animals • Tools • Retail • Inventory,,,https://www.tractorsupply.com/tsc/store_Lompoc-CA-93436_2037,,,LOM-TRACTOR,Lompoc starter directory
Verizon Authorized Retailer,"Lompoc, CA",Retail & Customer Service,Business,Technology sales and customer service.,Technology • Sales • Customer service • Mobile devices,,,https://www.verizon.com/stores/city/california/lompoc/,,,LOM-VERIZON,Lompoc starter directory
Walmart Supercenter,"701 W Central Ave, Lompoc, CA 93436",Retail & Customer Service,Business,Large retail workplace with many departments and career paths.,Customer service • Inventory • Pharmacy • Automotive • Management,,,https://www.walmart.com/store/1989-lompoc-ca,,,LOM-WALMART,Lompoc starter directory
"805 Plumbing, Inc.","Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Potential skilled-trades partner; availability must be confirmed.,Residential plumbing • Commercial plumbing • Repair service,Plumbing • Construction • Customer service • Small business,Potential partner inquiry,,805-734-7808,,LOM-805-PLUMBING,Lompoc Valley Chamber member directory; reviewed 2026-08
Accurate Heating & Air Conditioning,"811 E Chestnut Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,HVAC service • Installation • Diagnostics,HVAC • Mechanical systems • Electrical basics • Customer service,Potential partner inquiry,,805-743-3403,,LOM-ACCURATE-HVAC,Lompoc Valley Chamber member directory; reviewed 2026-08
Ampelos Cellars,"312 N 9th St, Suite A, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,"Local sustainable, organic, and biodynamic vineyard and production business; youth exploration should avoid alcohol-service roles.",Sustainable agriculture • Organic and biodynamic practices • Production • Marketing • Hospitality operations,Agriculture • Environmental science • Production • Business • Marketing,Age-appropriate sustainability career inquiry,https://www.ampeloscellars.com/,805-736-9957,rebecca@ampeloscellars.com,LOM-AMPELOS,Momentum Lompoc directory v23.1.0
Big E Produce,"Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Local produce company; confirm contact and student availability before outreach.,Produce growing • Packing • Distribution • Logistics,Agriculture • Food systems • Warehouse operations • Logistics,Agriculture career inquiry,,,,LOM-BIG-E-PRODUCE,Momentum local partner research; reviewed 2026-08
Dare 2 Dream Farms,"890 La Salle Canyon Rd, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,Sustainable farming • Poultry • Farm stand • Agritourism • Small business,Agriculture • Animal care • Entrepreneurship • Hospitality • Marketing,Farm-career conversation inquiry,https://dare2dreamfarms.com/,805-735-3233,,LOM-DARE2DREAM,Official organization website; reviewed 2026-08
DenMat Holdings,"1017 W Central Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Dental manufacturing and business operations.,Manufacturing • Dental products • Quality control • Marketing • Shipping,,,https://www.denmat.com/,,,LOM-DENMAT,Lompoc starter directory
Energy and Environmental Operations,Lompoc area,"Trades, Manufacturing & Energy",Business,Energy and environmental career exploration.,Energy • Environmental science • Maintenance • Safety,,,https://www.exxonmobil.com/,,,LOM-EXXON,Lompoc starter directory
Flying Goat Cellars,"1520 E Chestnut Ct, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,"Family-owned local producer; student exploration should focus on agriculture, production, design, logistics, and business rather than alcohol service.",Agricultural production • Bottling and logistics • Marketing • Art exhibits • Customer experience,Agriculture • Production • Chemistry • Graphic design • Marketing,Age-appropriate production career inquiry,https://flyinggoatcellars.com/,805-736-9032,info@flyinggoatcellars.com,LOM-FLYING-GOAT,Momentum Lompoc directory v23.1.0
Imerys,Lompoc area,"Trades, Manufacturing & Energy",Business,"Industrial minerals, equipment, and technical careers.",Mining • Engineering • Equipment • Environmental science,,,https://www.imerys.com/,,,LOM-IMERYs,Lompoc starter directory
Jordan Farms — Lompoc,"Lompoc Valley, CA","Trades, Manufacturing & Energy",Business,Historic Lompoc farm protected through an agricultural conservation easement.,Farming • Land stewardship • Agricultural conservation,Agriculture • Environmental science • Land management • Food systems,Agriculture or conservation inquiry,https://www.sblandtrust.org/land/jordan-farms/,,,LOM-JORDAN-FARMS,Momentum local partner research; reviewed 2026-08
Lompoc Valley Seed & Milling,"Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,"Local agricultural supply connection for career exploration, projects, and community outreach.",Agricultural supplies • Seed and feed • Inventory • Customer service,Agriculture • Retail • Logistics • Business,Career exploration • Agriculture inquiry,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+Seed+and+Milling%2C+Lompoc%2C+CA,,,LOM-SEEDMILLING,Momentum local business research; reviewed 2026-08
Lompoc Wine Factory,"321 N D St, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Wine production and storage.,Winemaking • Production • Warehousing • Hospitality,,,https://explorelompoc.com/directory/lompoc-wine-factory/,,,LOM-WINEFACTORY,Lompoc starter directory
Mid Coast Glass,"913 N H St, Lompoc, CA 93438","Trades, Manufacturing & Energy",Business,,Glass products • Installation • Repair • Customer service,Glazing • Construction • Fabrication • Sales,Potential partner inquiry,https://members.lompoc.com/list/member/mid-coast-glass-1046,805-736-5811,,LOM-MID-COAST-GLASS,Lompoc Valley Chamber member directory; reviewed 2026-08
Miller Landscaping & Maintenance,"1321 E Ocean Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,Landscape maintenance • Outdoor construction • Plant care,Landscaping • Horticulture • Equipment operation • Small business,Potential partner inquiry,,805-736-5299,,LOM-MILLER-LANDSCAPING,Lompoc Valley Chamber member directory; reviewed 2026-08
Oliveira's Fashion Floors,"307 W Ocean Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,Flooring sales • Installation coordination • Interior finishes,Interior design • Flooring installation • Retail • Estimating,Potential partner inquiry,,805-736-2396,,LOM-OLIVEIRA-FLOORS,Lompoc Valley Chamber member directory; reviewed 2026-08
Pali Wine Co. / Tower 15,"1036 W Aviation Dr, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Wine production and tasting.,Winemaking • Production • Hospitality • Sales,,,https://explorelompoc.com/directory/pali-wine-company/,,,LOM-PALI,Lompoc starter directory
RARE Electric,"432 Commerce Ct, Suite D, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Local electrical and solar contractor.,Electrical work • Solar installation • Troubleshooting,Electrical trades • Solar energy • Construction safety • Project estimating,Potential partner inquiry,,805-736-0089,,LOM-RARE-ELECTRIC,Lompoc Valley Chamber member directory; reviewed 2026-08
Scott Reardon's Locksmith Service,"914 N H St, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,Locksmithing • Security hardware • Mobile service,Locksmithing • Mechanical systems • Customer service • Entrepreneurship,Potential partner inquiry,,805-734-7259,,LOM-REARDON-LOCKSMITH,Lompoc Valley Chamber member directory; reviewed 2026-08
The Home Depot,"1701 E Ocean Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Home improvement and skilled-trade products.,Construction • Tools • Electrical • Plumbing • Retail,,,https://www.homedepot.com/l/Lompoc/CA/Lompoc/93436/6623,,,LOM-HOMEDEPOT,Lompoc starter directory
Topline Custom Tile & Stone,"Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Local tile and stone contractor.,Tile installation • Stonework • Finish construction,Tile setting • Design • Construction • Estimating,Potential partner inquiry,,805-944-8074,,LOM-TOPLINE-TILE,Lompoc Valley Chamber member directory; reviewed 2026-08
Universal Electric,"1507 E Chestnut Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,Electrical installation • Maintenance • Troubleshooting,Electrical trades • Construction safety • Project management,Potential partner inquiry,,805-351-7681,,LOM-UNIVERSAL-ELECTRIC,Lompoc Valley Chamber member directory; reviewed 2026-08
Valley Rock Landscape Supply,"2222 N H St, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,"Local landscape supply connection for career exploration, projects, and community outreach.",Landscape materials • Equipment operation • Sales • Delivery logistics,Landscaping • Construction • Logistics • Sales,Career exploration • Skilled-trades inquiry,https://valleyrocklandscapesupply.com/,,,LOM-VALLEYROCK,Momentum local business research; reviewed 2026-08
Wm. Rieck Plumbing,"801 E Chestnut Ave, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,Plumbing • Repair • Installation • Customer service,Plumbing • Construction • Maintenance • Business operations,Potential partner inquiry,,805-736-2337,,LOM-RIECK-PLUMBING,Lompoc Valley Chamber member directory; reviewed 2026-08
"Young Air, Inc.","1528 Calle Miro, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,,HVAC installation • Maintenance • Diagnostics,HVAC • Mechanical systems • Customer service • Construction,Potential partner inquiry,,805-618-4206,,LOM-YOUNG-AIR,Lompoc Valley Chamber member directory; reviewed 2026-08
Zellers Farms,"2050 Sweeney Rd, Lompoc, CA 93436","Trades, Manufacturing & Energy",Business,Local farm business offering honey and seasonal fruit.,Local honey • Seasonal fruit • Farm retail • Agriculture,Agriculture • Food systems • Small business • Sales,Agriculture career inquiry,https://explorelompoc.com/directory/zellers-farms/,805-757-7906,,LOM-ZELLERS-FARMS,Momentum Lompoc directory v23.1.0
Jael & Jabez Salon and Spa,"437 N H St, Lompoc, CA 93436",Wellness & Personal Care,Business,Salon and spa services.,Cosmetology • Massage • Customer service • Small business,,,https://explorelompoc.com/directory/jael-jabez-salon-and-spa/,,,LOM-JAEL,Lompoc starter directory
Lompoc Aquatic Center,"207 W College Ave, Lompoc, CA 93436",Wellness & Personal Care,Government,,Aquatics • Swim instruction • Lifeguarding • Facility operations,Lifeguarding • Recreation • Coaching • Facility management,Career and certification inquiry,https://www.cityoflompoc.com/government/departments/parks-recreation/lompoc-aquatic-center,805-875-2782,,LOM-AQUATIC,City of Lompoc official website; reviewed 2026-08
Lompoc Family YMCA,"201 W College Ave, Lompoc, CA 93436",Wellness & Personal Care,Business,"Youth, fitness, and community programming.",Fitness • Youth programs • Aquatics • Community service,,,https://www.ciymca.org/locations/lompoc-family-ymca,,,LOM-YMCA,Lompoc starter directory
Lompoc Tsunami Aquatics,"Lompoc, CA 93436",Wellness & Personal Care,Community Organization,"Local aquatics organization connection for career exploration, projects, and community outreach.",Competitive swimming • Coaching • Youth development • Aquatics,Coaching • Sports management • Recreation • Youth development,Volunteer inquiry • Career exploration,https://www.google.com/maps/search/?api=1&query=Lompoc+Tsunami+Aquatics%2C+Lompoc%2C+CA,,,LOM-TSUNAMI,Momentum local business research; reviewed 2026-08
